,inventory,src_index,inventory_id,inventory_id_name,lsidx,trigger,type,material,spat_unc,ID_HDC_G0,UC_NM_MN,date_local_midnight_utc,precip_source,Gauge ID,station_dist,tr_start,tr_tpk,tr_htopk,tr_cptopk,tr_nnantopk,e_start,e_htopk,e_cptopk,e_nnantopk
1014,NASA GLC,5190,2181,event_id,5190,Precipitation,Slide,Unknown,<1km,6845,Mumbai,2010-07-30 18:30:00+00:00,GSDR,IN_44,11669.3860525492,2010-07-30 14:30:00+00:00,2010-07-31 08:30:00+00:00,19,107.2,0,2010-07-15 15:30:00+00:00,378,650.4,0
114,NASA GLC,5991,953,event_id,5991,Precipitation,Complex,Unknown,<5km,1,Honolulu,2008-12-31 10:00:00+00:00,GSDR,US_510404,2209.47267213285,2008-12-30 15:00:00+00:00,2008-12-31 12:00:00+00:00,22,86.36,0,2008-12-23 19:00:00+00:00,186,251.46,0
3,NASA GLC,6064,1662,event_id,6064,Precipitation,Slide,Unknown,Exact,1361,Rio de Janeiro,2010-04-06 03:00:00+00:00,GSDR,BR_31,441.180685777575,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,118.4,0,2010-04-04 21:00:00+00:00,33,132.4,0
104,NASA GLC,6076,3439,event_id,6076,Precipitation,Slide,Unknown,<1km,11139,Kuala Lumpur,2011-04-28 16:00:00+00:00,GSDR,MY_kuala lumpur_3217008,2081.85276552793,2011-04-28 20:00:00+00:00,2011-04-28 20:00:00+00:00,1,0.5,0,2011-04-14 13:00:00+00:00,344,278.5,0
959,NASA GLC,6082,1676,event_id,6082,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,10890.065269748,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
1240,NASA GLC,6103,6002,event_id,6103,Precipitation,Slide,Unknown,Exact,945,New York,2014-05-01 04:00:00+00:00,GSDR,ISD_725030-14732,20643.6360859078,2014-04-30 07:00:00+00:00,2014-05-01 04:00:00+00:00,22,110.3,2,2014-04-29 23:00:00+00:00,30,111.1,2
871,NASA GLC,6110,1636,event_id,6110,Precipitation,Slide,Unknown,<5km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,9739.33583679629,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
396,NASA GLC,6162,6073,event_id,6162,Precipitation,Slide,Earth,Exact,554,Minneapolis [Saint Paul],2014-06-19 05:00:00+00:00,GSDR,ISD_726584-14927,5273.52451864943,2014-06-19 08:00:00+00:00,2014-06-19 10:00:00+00:00,3,24.2,1,2014-06-14 16:00:00+00:00,115,105.6,8
64,NASA GLC,6169,1376,event_id,6169,Precipitation,Slide,Earth,<5km,1361,Rio de Janeiro,2009-12-31 02:00:00+00:00,GSDR,BR_5,1650.92842902419,2009-12-30 13:00:00+00:00,2009-12-31 10:00:00+00:00,22,68,0,2009-12-27 21:00:00+00:00,86,108.4,0
110,NASA GLC,6250,11092,event_id,6250,Precipitation,Slide,Unknown,<1km,13121,Wellington,2017-03-10 11:00:00+00:00,GSDR,NZ_41229,2159.25350351425,2017-03-10 15:00:00+00:00,2017-03-10 23:00:00+00:00,9,9.1,0,2017-03-10 15:00:00+00:00,9,9.1,0
57,NASA GLC,6975,6080,event_id,6975,Precipitation,Slide,Earth,Exact,554,Minneapolis [Saint Paul],2014-06-20 05:00:00+00:00,GSDR,ISD_726584-14927,1545.70292227069,2014-06-20 06:00:00+00:00,2014-06-20 05:00:00+00:00,0,0,0,2014-06-14 16:00:00+00:00,134,150.05,11
